County,Year,Variable,Value
Paulding,2016,Age-Adjusted Death Rate-All Opioids,14.9
Peach,2016,Age-Adjusted Death Rate-All Opioids,*
Pickens,2016,Age-Adjusted Death Rate-All Opioids,*
Pierce,2016,Age-Adjusted Death Rate-All Opioids,*
Pike,2016,Age-Adjusted Death Rate-All Opioids,*
Polk,2016,Age-Adjusted Death Rate-All Opioids,*
Pulaski,2016,Age-Adjusted Death Rate-All Opioids,0.0
Putnam,2016,Age-Adjusted Death Rate-All Opioids,*
Quitman,2016,Age-Adjusted Death Rate-All Opioids,0.0
Rabun,2016,Age-Adjusted Death Rate-All Opioids,*
Randolph,2016,Age-Adjusted Death Rate-All Opioids,0.0
Richmond,2016,Age-Adjusted Death Rate-All Opioids,11.9
Rockdale,2016,Age-Adjusted Death Rate-All Opioids,8.5
Schley,2016,Age-Adjusted Death Rate-All Opioids,0.0
Screven,2016,Age-Adjusted Death Rate-All Opioids,0.0
Seminole,2016,Age-Adjusted Death Rate-All Opioids,0.0
Spalding,2016,Age-Adjusted Death Rate-All Opioids,10.6
Stephens,2016,Age-Adjusted Death Rate-All Opioids,22.4
Stewart,2016,Age-Adjusted Death Rate-All Opioids,*
Sumter,2016,Age-Adjusted Death Rate-All Opioids,0.0
Talbot,2016,Age-Adjusted Death Rate-All Opioids,0.0
Taliaferro,2016,Age-Adjusted Death Rate-All Opioids,0.0
Tattnall,2016,Age-Adjusted Death Rate-All Opioids,*
Taylor,2016,Age-Adjusted Death Rate-All Opioids,0.0
Telfair,2016,Age-Adjusted Death Rate-All Opioids,*
Terrell,2016,Age-Adjusted Death Rate-All Opioids,0.0
Thomas,2016,Age-Adjusted Death Rate-All Opioids,*
Tift,2016,Age-Adjusted Death Rate-All Opioids,*
Toombs,2016,Age-Adjusted Death Rate-All Opioids,*
Towns,2016,Age-Adjusted Death Rate-All Opioids,*
Treutlen,2016,Age-Adjusted Death Rate-All Opioids,0.0
Troup,2016,Age-Adjusted Death Rate-All Opioids,10.3
Turner,2016,Age-Adjusted Death Rate-All Opioids,*
Twiggs,2016,Age-Adjusted Death Rate-All Opioids,*
Union,2016,Age-Adjusted Death Rate-All Opioids,*
Upson,2016,Age-Adjusted Death Rate-All Opioids,*
Walker,2016,Age-Adjusted Death Rate-All Opioids,14.6
Walton,2016,Age-Adjusted Death Rate-All Opioids,12.8
Ware,2016,Age-Adjusted Death Rate-All Opioids,*
Warren,2016,Age-Adjusted Death Rate-All Opioids,0.0
Washington,2016,Age-Adjusted Death Rate-All Opioids,*
Wayne,2016,Age-Adjusted Death Rate-All Opioids,16.6
Webster,2016,Age-Adjusted Death Rate-All Opioids,*
Wheeler,2016,Age-Adjusted Death Rate-All Opioids,0.0
White,2016,Age-Adjusted Death Rate-All Opioids,13.0
Whitfield,2016,Age-Adjusted Death Rate-All Opioids,6.1
Wilcox,2016,Age-Adjusted Death Rate-All Opioids,*
Wilkes,2016,Age-Adjusted Death Rate-All Opioids,0.0
Wilkinson,2016,Age-Adjusted Death Rate-All Opioids,0.0
Worth,2016,Age-Adjusted Death Rate-All Opioids,*
Appling,2016,Percent of Deaths by Cause-All Opioids,*
Atkinson,2016,Percent of Deaths by Cause-All Opioids,*
Bacon,2016,Percent of Deaths by Cause-All Opioids,0.0
Baker,2016,Percent of Deaths by Cause-All Opioids,0.0
Baldwin,2016,Percent of Deaths by Cause-All Opioids,0.0
Banks,2016,Percent of Deaths by Cause-All Opioids,*
Barrow,2016,Percent of Deaths by Cause-All Opioids,1.8
Bartow,2016,Percent of Deaths by Cause-All Opioids,1.5
Berrien,2016,Percent of Deaths by Cause-All Opioids,0.0
Bibb,2016,Percent of Deaths by Cause-All Opioids,0.6
Bleckley,2016,Percent of Deaths by Cause-All Opioids,0.0
Brantley,2016,Percent of Deaths by Cause-All Opioids,2.5
Brooks,2016,Percent of Deaths by Cause-All Opioids,0.0
Bryan,2016,Percent of Deaths by Cause-All Opioids,0.0
Bulloch,2016,Percent of Deaths by Cause-All Opioids,*
Burke,2016,Percent of Deaths by Cause-All Opioids,*
Butts,2016,Percent of Deaths by Cause-All Opioids,*
Calhoun,2016,Percent of Deaths by Cause-All Opioids,*
Camden,2016,Percent of Deaths by Cause-All Opioids,*
Candler,2016,Percent of Deaths by Cause-All Opioids,*
Carroll,2016,Percent of Deaths by Cause-All Opioids,1.8
Catoosa,2016,Percent of Deaths by Cause-All Opioids,1.4
Charlton,2016,Percent of Deaths by Cause-All Opioids,*
Chatham,2016,Percent of Deaths by Cause-All Opioids,1.0
Chattahoochee,2016,Percent of Deaths by Cause-All Opioids,0.0
Chattooga,2016,Percent of Deaths by Cause-All Opioids,*
Cherokee,2016,Percent of Deaths by Cause-All Opioids,2.2
Clarke,2016,Percent of Deaths by Cause-All Opioids,1.6
Clay,2016,Percent of Deaths by Cause-All Opioids,*
Clayton,2016,Percent of Deaths by Cause-All Opioids,1.0
Clinch,2016,Percent of Deaths by Cause-All Opioids,0.0
Cobb,2016,Percent of Deaths by Cause-All Opioids,2.2
Coffee,2016,Percent of Deaths by Cause-All Opioids,1.4
Colquitt,2016,Percent of Deaths by Cause-All Opioids,*
Columbia,2016,Percent of Deaths by Cause-All Opioids,1.7
Cook,2016,Percent of Deaths by Cause-All Opioids,0.0
Coweta,2016,Percent of Deaths by Cause-All Opioids,1.4
Crawford,2016,Percent of Deaths by Cause-All Opioids,*
Crisp,2016,Percent of Deaths by Cause-All Opioids,0.0
Dade,2016,Percent of Deaths by Cause-All Opioids,0.0
Dawson,2016,Percent of Deaths by Cause-All Opioids,*
Decatur,2016,Percent of Deaths by Cause-All Opioids,0.0
DeKalb,2016,Percent of Deaths by Cause-All Opioids,1.0
Dodge,2016,Percent of Deaths by Cause-All Opioids,*
Dooly,2016,Percent of Deaths by Cause-All Opioids,0.0
Dougherty,2016,Percent of Deaths by Cause-All Opioids,0.5
Douglas,2016,Percent of Deaths by Cause-All Opioids,2.4
Early,2016,Percent of Deaths by Cause-All Opioids,0.0
Echols,2016,Percent of Deaths by Cause-All Opioids,0.0
Effingham,2016,Percent of Deaths by Cause-All Opioids,*
Elbert,2016,Percent of Deaths by Cause-All Opioids,0.0
Emanuel,2016,Percent of Deaths by Cause-All Opioids,*
Evans,2016,Percent of Deaths by Cause-All Opioids,*
Fannin,2016,Percent of Deaths by Cause-All Opioids,1.7
Fayette,2016,Percent of Deaths by Cause-All Opioids,*
Floyd,2016,Percent of Deaths by Cause-All Opioids,0.8
Forsyth,2016,Percent of Deaths by Cause-All Opioids,1.1
Franklin,2016,Percent of Deaths by Cause-All Opioids,*
Fulton,2016,Percent of Deaths by Cause-All Opioids,1.7
Gilmer,2016,Percent of Deaths by Cause-All Opioids,1.5
Glascock,2016,Percent of Deaths by Cause-All Opioids,0.0
Glynn,2016,Percent of Deaths by Cause-All Opioids,0.9
Gordon,2016,Percent of Deaths by Cause-All Opioids,1.3
Grady,2016,Percent of Deaths by Cause-All Opioids,0.0
Greene,2016,Percent of Deaths by Cause-All Opioids,*
Gwinnett,2016,Percent of Deaths by Cause-All Opioids,1.3
Habersham,2016,Percent of Deaths by Cause-All Opioids,*
Hall,2016,Percent of Deaths by Cause-All Opioids,0.9
Hancock,2016,Percent of Deaths by Cause-All Opioids,0.0
Haralson,2016,Percent of Deaths by Cause-All Opioids,2.1
Harris,2016,Percent of Deaths by Cause-All Opioids,1.9
Hart,2016,Percent of Deaths by Cause-All Opioids,*
Heard,2016,Percent of Deaths by Cause-All Opioids,*
Henry,2016,Percent of Deaths by Cause-All Opioids,1.8
Houston,2016,Percent of Deaths by Cause-All Opioids,0.4
Irwin,2016,Percent of Deaths by Cause-All Opioids,*
Jackson,2016,Percent of Deaths by Cause-All Opioids,1.2
Jasper,2016,Percent of Deaths by Cause-All Opioids,*
Jefferson,2016,Percent of Deaths by Cause-All Opioids,0.0
Jenkins,2016,Percent of Deaths by Cause-All Opioids,*
Johnson,2016,Percent of Deaths by Cause-All Opioids,0.0
Jones,2016,Percent of Deaths by Cause-All Opioids,*
Lamar,2016,Percent of Deaths by Cause-All Opioids,*
Lanier,2016,Percent of Deaths by Cause-All Opioids,0.0
Laurens,2016,Percent of Deaths by Cause-All Opioids,*
Lee,2016,Percent of Deaths by Cause-All Opioids,*
Liberty,2016,Percent of Deaths by Cause-All Opioids,*
Lincoln,2016,Percent of Deaths by Cause-All Opioids,*
Long,2016,Percent of Deaths by Cause-All Opioids,*
Lowndes,2016,Percent of Deaths by Cause-All Opioids,0.6
Lumpkin,2016,Percent of Deaths by Cause-All Opioids,*
McDuffie,2016,Percent of Deaths by Cause-All Opioids,0.0
McIntosh,2016,Percent of Deaths by Cause-All Opioids,*
Macon,2016,Percent of Deaths by Cause-All Opioids,0.0
Madison,2016,Percent of Deaths by Cause-All Opioids,*
Marion,2016,Percent of Deaths by Cause-All Opioids,*
Meriwether,2016,Percent of Deaths by Cause-All Opioids,0.0
Miller,2016,Percent of Deaths by Cause-All Opioids,0.0
Mitchell,2016,Percent of Deaths by Cause-All Opioids,0.0
Monroe,2016,Percent of Deaths by Cause-All Opioids,*
Montgomery,2016,Percent of Deaths by Cause-All Opioids,0.0
Morgan,2016,Percent of Deaths by Cause-All Opioids,0.0
Murray,2016,Percent of Deaths by Cause-All Opioids,*
Muscogee,2016,Percent of Deaths by Cause-All Opioids,0.4
Newton,2016,Percent of Deaths by Cause-All Opioids,0.9
Oconee,2016,Percent of Deaths by Cause-All Opioids,0.0
Oglethorpe,2016,Percent of Deaths by Cause-All Opioids,0.0
Paulding,2016,Percent of Deaths by Cause-All Opioids,2.6
Peach,2016,Percent of Deaths by Cause-All Opioids,*
Pickens,2016,Percent of Deaths by Cause-All Opioids,*
Pierce,2016,Percent of Deaths by Cause-All Opioids,*
Pike,2016,Percent of Deaths by Cause-All Opioids,*
Polk,2016,Percent of Deaths by Cause-All Opioids,*
Pulaski,2016,Percent of Deaths by Cause-All Opioids,0.0
Putnam,2016,Percent of Deaths by Cause-All Opioids,*
Quitman,2016,Percent of Deaths by Cause-All Opioids,0.0
Rabun,2016,Percent of Deaths by Cause-All Opioids,*
Randolph,2016,Percent of Deaths by Cause-All Opioids,0.0
Richmond,2016,Percent of Deaths by Cause-All Opioids,1.4
Rockdale,2016,Percent of Deaths by Cause-All Opioids,1.1
Schley,2016,Percent of Deaths by Cause-All Opioids,0.0
Screven,2016,Percent of Deaths by Cause-All Opioids,0.0
Seminole,2016,Percent of Deaths by Cause-All Opioids,0.0
Spalding,2016,Percent of Deaths by Cause-All Opioids,0.9
Stephens,2016,Percent of Deaths by Cause-All Opioids,1.4
Stewart,2016,Percent of Deaths by Cause-All Opioids,*
Sumter,2016,Percent of Deaths by Cause-All Opioids,0.0
Talbot,2016,Percent of Deaths by Cause-All Opioids,0.0
Taliaferro,2016,Percent of Deaths by Cause-All Opioids,0.0
Tattnall,2016,Percent of Deaths by Cause-All Opioids,*
Taylor,2016,Percent of Deaths by Cause-All Opioids,0.0
Telfair,2016,Percent of Deaths by Cause-All Opioids,*
Terrell,2016,Percent of Deaths by Cause-All Opioids,0.0
Thomas,2016,Percent of Deaths by Cause-All Opioids,*
Tift,2016,Percent of Deaths by Cause-All Opioids,*
Toombs,2016,Percent of Deaths by Cause-All Opioids,*
Towns,2016,Percent of Deaths by Cause-All Opioids,*
Treutlen,2016,Percent of Deaths by Cause-All Opioids,0.0
Troup,2016,Percent of Deaths by Cause-All Opioids,0.8
Turner,2016,Percent of Deaths by Cause-All Opioids,*
Twiggs,2016,Percent of Deaths by Cause-All Opioids,*
Union,2016,Percent of Deaths by Cause-All Opioids,*
Upson,2016,Percent of Deaths by Cause-All Opioids,*
Walker,2016,Percent of Deaths by Cause-All Opioids,1.0
Walton,2016,Percent of Deaths by Cause-All Opioids,1.3
Ware,2016,Percent of Deaths by Cause-All Opioids,*
Warren,2016,Percent of Deaths by Cause-All Opioids,0.0
Washington,2016,Percent of Deaths by Cause-All Opioids,*
Wayne,2016,Percent of Deaths by Cause-All Opioids,1.4
Webster,2016,Percent of Deaths by Cause-All Opioids,*
Wheeler,2016,Percent of Deaths by Cause-All Opioids,0.0
White,2016,Percent of Deaths by Cause-All Opioids,1.9
Whitfield,2016,Percent of Deaths by Cause-All Opioids,0.7
Wilcox,2016,Percent of Deaths by Cause-All Opioids,*
Wilkes,2016,Percent of Deaths by Cause-All Opioids,0.0
Wilkinson,2016,Percent of Deaths by Cause-All Opioids,0.0
Worth,2016,Percent of Deaths by Cause-All Opioids,*
Appling,2016,Death Rate-All Opioids,*
Atkinson,2016,Death Rate-All Opioids,*
Bacon,2016,Death Rate-All Opioids,0.0
Baker,2016,Death Rate-All Opioids,0.0
Baldwin,2016,Death Rate-All Opioids,0.0
Banks,2016,Death Rate-All Opioids,*
Barrow,2016,Death Rate-All Opioids,13.0
Bartow,2016,Death Rate-All Opioids,13.5
Berrien,2016,Death Rate-All Opioids,0.0
Bibb,2016,Death Rate-All Opioids,6.5
Bleckley,2016,Death Rate-All Opioids,0.0
Brantley,2016,Death Rate-All Opioids,27.2
Brooks,2016,Death Rate-All Opioids,0.0
Bryan,2016,Death Rate-All Opioids,0.0
Bulloch,2016,Death Rate-All Opioids,*
Burke,2016,Death Rate-All Opioids,*
Butts,2016,Death Rate-All Opioids,*
Calhoun,2016,Death Rate-All Opioids,*
Camden,2016,Death Rate-All Opioids,*
Candler,2016,Death Rate-All Opioids,*
Carroll,2016,Death Rate-All Opioids,16.3
Catoosa,2016,Death Rate-All Opioids,15.1
Charlton,2016,Death Rate-All Opioids,*
Chatham,2016,Death Rate-All Opioids,9.0
Chattahoochee,2016,Death Rate-All Opioids,0.0
Chattooga,2016,Death Rate-All Opioids,*
Cherokee,2016,Death Rate-All Opioids,14.1
Clarke,2016,Death Rate-All Opioids,9.6
Clay,2016,Death Rate-All Opioids,*
Clayton,2016,Death Rate-All Opioids,6.1
Clinch,2016,Death Rate-All Opioids,0.0
Cobb,2016,Death Rate-All Opioids,12.7
Coffee,2016,Death Rate-All Opioids,13.9
Colquitt,2016,Death Rate-All Opioids,*
Columbia,2016,Death Rate-All Opioids,10.9
Cook,2016,Death Rate-All Opioids,0.0
Coweta,2016,Death Rate-All Opioids,10.7
Crawford,2016,Death Rate-All Opioids,*
Crisp,2016,Death Rate-All Opioids,0.0
Dade,2016,Death Rate-All Opioids,0.0
Dawson,2016,Death Rate-All Opioids,*
Decatur,2016,Death Rate-All Opioids,0.0
DeKalb,2016,Death Rate-All Opioids,6.2
Dodge,2016,Death Rate-All Opioids,*
Dooly,2016,Death Rate-All Opioids,0.0
Dougherty,2016,Death Rate-All Opioids,5.6
Douglas,2016,Death Rate-All Opioids,16.2
Early,2016,Death Rate-All Opioids,0.0
Echols,2016,Death Rate-All Opioids,0.0
Effingham,2016,Death Rate-All Opioids,*
Elbert,2016,Death Rate-All Opioids,0.0
Emanuel,2016,Death Rate-All Opioids,*
Evans,2016,Death Rate-All Opioids,*
Fannin,2016,Death Rate-All Opioids,24.1
Fayette,2016,Death Rate-All Opioids,*
Floyd,2016,Death Rate-All Opioids,9.3
Forsyth,2016,Death Rate-All Opioids,5.9
Franklin,2016,Death Rate-All Opioids,*
Fulton,2016,Death Rate-All Opioids,10.3
Gilmer,2016,Death Rate-All Opioids,16.8
Glascock,2016,Death Rate-All Opioids,0.0
Glynn,2016,Death Rate-All Opioids,9.5
Gordon,2016,Death Rate-All Opioids,12.3
Grady,2016,Death Rate-All Opioids,0.0
Greene,2016,Death Rate-All Opioids,*
Gwinnett,2016,Death Rate-All Opioids,6.1
Habersham,2016,Death Rate-All Opioids,*
Hall,2016,Death Rate-All Opioids,6.6
Hancock,2016,Death Rate-All Opioids,0.0
Haralson,2016,Death Rate-All Opioids,27.5
Harris,2016,Death Rate-All Opioids,14.9
Hart,2016,Death Rate-All Opioids,*
Heard,2016,Death Rate-All Opioids,*
Henry,2016,Death Rate-All Opioids,11.7
Houston,2016,Death Rate-All Opioids,3.3
Irwin,2016,Death Rate-All Opioids,*
Jackson,2016,Death Rate-All Opioids,10.8
Jasper,2016,Death Rate-All Opioids,*
Jefferson,2016,Death Rate-All Opioids,0.0
Jenkins,2016,Death Rate-All Opioids,*
Johnson,2016,Death Rate-All Opioids,0.0
Jones,2016,Death Rate-All Opioids,*
Lamar,2016,Death Rate-All Opioids,*
Lanier,2016,Death Rate-All Opioids,0.0
Laurens,2016,Death Rate-All Opioids,*
Lee,2016,Death Rate-All Opioids,*
Liberty,2016,Death Rate-All Opioids,*
Lincoln,2016,Death Rate-All Opioids,*
Long,2016,Death Rate-All Opioids,*
Lowndes,2016,Death Rate-All Opioids,4.4
Lumpkin,2016,Death Rate-All Opioids,*
McDuffie,2016,Death Rate-All Opioids,0.0
McIntosh,2016,Death Rate-All Opioids,*
Macon,2016,Death Rate-All Opioids,0.0
Madison,2016,Death Rate-All Opioids,*
Marion,2016,Death Rate-All Opioids,*
Meriwether,2016,Death Rate-All Opioids,0.0
Miller,2016,Death Rate-All Opioids,0.0
Mitchell,2016,Death Rate-All Opioids,0.0
Monroe,2016,Death Rate-All Opioids,*
Montgomery,2016,Death Rate-All Opioids,0.0
Morgan,2016,Death Rate-All Opioids,0.0
Murray,2016,Death Rate-All Opioids,*
Muscogee,2016,Death Rate-All Opioids,4.1
Newton,2016,Death Rate-All Opioids,6.5
Oconee,2016,Death Rate-All Opioids,0.0
Oglethorpe,2016,Death Rate-All Opioids,0.0
Paulding,2016,Death Rate-All Opioids,15.4
Peach,2016,Death Rate-All Opioids,*
Pickens,2016,Death Rate-All Opioids,*
Pierce,2016,Death Rate-All Opioids,*
Pike,2016,Death Rate-All Opioids,*
Polk,2016,Death Rate-All Opioids,*
Pulaski,2016,Death Rate-All Opioids,0.0
Putnam,2016,Death Rate-All Opioids,*
Quitman,2016,Death Rate-All Opioids,0.0
Rabun,2016,Death Rate-All Opioids,*
Randolph,2016,Death Rate-All Opioids,0.0
Richmond,2016,Death Rate-All Opioids,13.4
Rockdale,2016,Death Rate-All Opioids,9.0
Schley,2016,Death Rate-All Opioids,0.0
Screven,2016,Death Rate-All Opioids,0.0
Seminole,2016,Death Rate-All Opioids,0.0
Spalding,2016,Death Rate-All Opioids,10.8
Stephens,2016,Death Rate-All Opioids,19.4
Stewart,2016,Death Rate-All Opioids,*
Sumter,2016,Death Rate-All Opioids,0.0
Talbot,2016,Death Rate-All Opioids,0.0
Taliaferro,2016,Death Rate-All Opioids,0.0
Tattnall,2016,Death Rate-All Opioids,*
Taylor,2016,Death Rate-All Opioids,0.0
Telfair,2016,Death Rate-All Opioids,*
Terrell,2016,Death Rate-All Opioids,0.0
Thomas,2016,Death Rate-All Opioids,*
Tift,2016,Death Rate-All Opioids,*
Toombs,2016,Death Rate-All Opioids,*
Towns,2016,Death Rate-All Opioids,*
Treutlen,2016,Death Rate-All Opioids,0.0
Troup,2016,Death Rate-All Opioids,8.6
Turner,2016,Death Rate-All Opioids,*
Twiggs,2016,Death Rate-All Opioids,*
Union,2016,Death Rate-All Opioids,*
Upson,2016,Death Rate-All Opioids,*
Walker,2016,Death Rate-All Opioids,13.3
Walton,2016,Death Rate-All Opioids,12.2
Ware,2016,Death Rate-All Opioids,*
Warren,2016,Death Rate-All Opioids,0.0
Washington,2016,Death Rate-All Opioids,*
Wayne,2016,Death Rate-All Opioids,16.6
Webster,2016,Death Rate-All Opioids,*
Wheeler,2016,Death Rate-All Opioids,0.0
White,2016,Death Rate-All Opioids,17.3
Whitfield,2016,Death Rate-All Opioids,5.7
Wilcox,2016,Death Rate-All Opioids,*
Wilkes,2016,Death Rate-All Opioids,0.0
Wilkinson,2016,Death Rate-All Opioids,0.0
Worth,2016,Death Rate-All Opioids,*
Appling,2020,Age-Adjusted Death Rate-All Opioids,*
Atkinson,2020,Age-Adjusted Death Rate-All Opioids,*
Bacon,2020,Age-Adjusted Death Rate-All Opioids,0.0
Baker,2020,Age-Adjusted Death Rate-All Opioids,0.0
Baldwin,2020,Age-Adjusted Death Rate-All Opioids,*
Banks,2020,Age-Adjusted Death Rate-All Opioids,*
Barrow,2020,Age-Adjusted Death Rate-All Opioids,13.8
Bartow,2020,Age-Adjusted Death Rate-All Opioids,21.9
Berrien,2020,Age-Adjusted Death Rate-All Opioids,*
Bibb,2020,Age-Adjusted Death Rate-All Opioids,9.0
Bleckley,2020,Age-Adjusted Death Rate-All Opioids,*
Brantley,2020,Age-Adjusted Death Rate-All Opioids,*
Brooks,2020,Age-Adjusted Death Rate-All Opioids,0.0
Bryan,2020,Age-Adjusted Death Rate-All Opioids,14.6
Bulloch,2020,Age-Adjusted Death Rate-All Opioids,*
Burke,2020,Age-Adjusted Death Rate-All Opioids,*
Butts,2020,Age-Adjusted Death Rate-All Opioids,19.2
Calhoun,2020,Age-Adjusted Death Rate-All Opioids,0.0
Camden,2020,Age-Adjusted Death Rate-All Opioids,15.9
Candler,2020,Age-Adjusted Death Rate-All Opioids,*
Carroll,2020,Age-Adjusted Death Rate-All Opioids,22.9
Catoosa,2020,Age-Adjusted Death Rate-All Opioids,19.8
Charlton,2020,Age-Adjusted Death Rate-All Opioids,*
Chatham,2020,Age-Adjusted Death Rate-All Opioids,15.9
Chattahoochee,2020,Age-Adjusted Death Rate-All Opioids,*
Chattooga,2020,Age-Adjusted Death Rate-All Opioids,*
Cherokee,2020,Age-Adjusted Death Rate-All Opioids,17.0
Clarke,2020,Age-Adjusted Death Rate-All Opioids,10.2
Clay,2020,Age-Adjusted Death Rate-All Opioids,*
Clayton,2020,Age-Adjusted Death Rate-All Opioids,8.8
Clinch,2020,Age-Adjusted Death Rate-All Opioids,*
Cobb,2020,Age-Adjusted Death Rate-All Opioids,14.3
Coffee,2020,Age-Adjusted Death Rate-All Opioids,*
Colquitt,2020,Age-Adjusted Death Rate-All Opioids,15.9
Columbia,2020,Age-Adjusted Death Rate-All Opioids,14.2
Cook,2020,Age-Adjusted Death Rate-All Opioids,*
Coweta,2020,Age-Adjusted Death Rate-All Opioids,7.4
Crawford,2020,Age-Adjusted Death Rate-All Opioids,0.0
Crisp,2020,Age-Adjusted Death Rate-All Opioids,*
Dade,2020,Age-Adjusted Death Rate-All Opioids,*
Dawson,2020,Age-Adjusted Death Rate-All Opioids,*
Decatur,2020,Age-Adjusted Death Rate-All Opioids,*
DeKalb,2020,Age-Adjusted Death Rate-All Opioids,10.7
Dodge,2020,Age-Adjusted Death Rate-All Opioids,*
Dooly,2020,Age-Adjusted Death Rate-All Opioids,*
Dougherty,2020,Age-Adjusted Death Rate-All Opioids,*
Douglas,2020,Age-Adjusted Death Rate-All Opioids,16.0
Early,2020,Age-Adjusted Death Rate-All Opioids,0.0
Echols,2020,Age-Adjusted Death Rate-All Opioids,0.0
Effingham,2020,Age-Adjusted Death Rate-All Opioids,14.3
Elbert,2020,Age-Adjusted Death Rate-All Opioids,31.9
Emanuel,2020,Age-Adjusted Death Rate-All Opioids,*
Evans,2020,Age-Adjusted Death Rate-All Opioids,0.0
Fannin,2020,Age-Adjusted Death Rate-All Opioids,*
Fayette,2020,Age-Adjusted Death Rate-All Opioids,8.4
Floyd,2020,Age-Adjusted Death Rate-All Opioids,16.4
Forsyth,2020,Age-Adjusted Death Rate-All Opioids,8.0
Franklin,2020,Age-Adjusted Death Rate-All Opioids,*
Fulton,2020,Age-Adjusted Death Rate-All Opioids,11.3
Gilmer,2020,Age-Adjusted Death Rate-All Opioids,34.0
Glascock,2020,Age-Adjusted Death Rate-All Opioids,0.0
Glynn,2020,Age-Adjusted Death Rate-All Opioids,22.0
Gordon,2020,Age-Adjusted Death Rate-All Opioids,*
Grady,2020,Age-Adjusted Death Rate-All Opioids,*
Greene,2020,Age-Adjusted Death Rate-All Opioids,*
Gwinnett,2020,Age-Adjusted Death Rate-All Opioids,10.3
Habersham,2020,Age-Adjusted Death Rate-All Opioids,29.3
Hall,2020,Age-Adjusted Death Rate-All Opioids,13.3
Hancock,2020,Age-Adjusted Death Rate-All Opioids,0.0
Haralson,2020,Age-Adjusted Death Rate-All Opioids,25.5
Harris,2020,Age-Adjusted Death Rate-All Opioids,18.4
Hart,2020,Age-Adjusted Death Rate-All Opioids,*
Heard,2020,Age-Adjusted Death Rate-All Opioids,*
Henry,2020,Age-Adjusted Death Rate-All Opioids,10.0
Houston,2020,Age-Adjusted Death Rate-All Opioids,9.9
Irwin,2020,Age-Adjusted Death Rate-All Opioids,0.0
Jackson,2020,Age-Adjusted Death Rate-All Opioids,12.0
Jasper,2020,Age-Adjusted Death Rate-All Opioids,*
Jefferson,2020,Age-Adjusted Death Rate-All Opioids,0.0
Jenkins,2020,Age-Adjusted Death Rate-All Opioids,*
Johnson,2020,Age-Adjusted Death Rate-All Opioids,0.0
Jones,2020,Age-Adjusted Death Rate-All Opioids,*
Lamar,2020,Age-Adjusted Death Rate-All Opioids,0.0
Lanier,2020,Age-Adjusted Death Rate-All Opioids,0.0
Laurens,2020,Age-Adjusted Death Rate-All Opioids,*
Lee,2020,Age-Adjusted Death Rate-All Opioids,*
Liberty,2020,Age-Adjusted Death Rate-All Opioids,7.8
Lincoln,2020,Age-Adjusted Death Rate-All Opioids,*
Long,2020,Age-Adjusted Death Rate-All Opioids,*
Lowndes,2020,Age-Adjusted Death Rate-All Opioids,5.4
Lumpkin,2020,Age-Adjusted Death Rate-All Opioids,28.5
McDuffie,2020,Age-Adjusted Death Rate-All Opioids,*
McIntosh,2020,Age-Adjusted Death Rate-All Opioids,*
Macon,2020,Age-Adjusted Death Rate-All Opioids,0.0
Madison,2020,Age-Adjusted Death Rate-All Opioids,17.5
Marion,2020,Age-Adjusted Death Rate-All Opioids,*
Meriwether,2020,Age-Adjusted Death Rate-All Opioids,*
Miller,2020,Age-Adjusted Death Rate-All Opioids,*
Mitchell,2020,Age-Adjusted Death Rate-All Opioids,0.0
Monroe,2020,Age-Adjusted Death Rate-All Opioids,*
Montgomery,2020,Age-Adjusted Death Rate-All Opioids,*
Morgan,2020,Age-Adjusted Death Rate-All Opioids,*
Murray,2020,Age-Adjusted Death Rate-All Opioids,*
Muscogee,2020,Age-Adjusted Death Rate-All Opioids,5.6
Newton,2020,Age-Adjusted Death Rate-All Opioids,11.7
Oconee,2020,Age-Adjusted Death Rate-All Opioids,12.0
Oglethorpe,2020,Age-Adjusted Death Rate-All Opioids,*
Paulding,2020,Age-Adjusted Death Rate-All Opioids,17.5
Peach,2020,Age-Adjusted Death Rate-All Opioids,*
Pickens,2020,Age-Adjusted Death Rate-All Opioids,19.5
Pierce,2020,Age-Adjusted Death Rate-All Opioids,31.1
Pike,2020,Age-Adjusted Death Rate-All Opioids,*
Polk,2020,Age-Adjusted Death Rate-All Opioids,18.5
Pulaski,2020,Age-Adjusted Death Rate-All Opioids,0.0
Putnam,2020,Age-Adjusted Death Rate-All Opioids,*
Quitman,2020,Age-Adjusted Death Rate-All Opioids,0.0
Rabun,2020,Age-Adjusted Death Rate-All Opioids,27.2
Randolph,2020,Age-Adjusted Death Rate-All Opioids,*
Richmond,2020,Age-Adjusted Death Rate-All Opioids,23.0
Rockdale,2020,Age-Adjusted Death Rate-All Opioids,15.6
Schley,2020,Age-Adjusted Death Rate-All Opioids,0.0
Screven,2020,Age-Adjusted Death Rate-All Opioids,*
Seminole,2020,Age-Adjusted Death Rate-All Opioids,*
Spalding,2020,Age-Adjusted Death Rate-All Opioids,15.3
Stephens,2020,Age-Adjusted Death Rate-All Opioids,*
Stewart,2020,Age-Adjusted Death Rate-All Opioids,0.0
Sumter,2020,Age-Adjusted Death Rate-All Opioids,*
Talbot,2020,Age-Adjusted Death Rate-All Opioids,*
Taliaferro,2020,Age-Adjusted Death Rate-All Opioids,0.0
Tattnall,2020,Age-Adjusted Death Rate-All Opioids,0.0
Taylor,2020,Age-Adjusted Death Rate-All Opioids,0.0
