County,Year,Variable,Value,CI_Low,CI_High
Brooks,2021,Injury Death Rate (Black),80.382914977,50.375544858,121.70069928
Greene,2021,% Excessive Drinking,15.830203235,15.107648471,16.596113167
Talbot,2021,ER Visit Rate-All Other Unintentional Injury,2995.5,N/A,N/A
Brooks,2021,Age-Adjusted Death Rate,482.32793468,422.83177248,541.82409688
Brantley,2021,Teen Birth Rate,49.540840986,42.759079438,56.322602534
Evans,2021,Average Number of Physically Unhealthy Days,5.2167756628,4.8212059913,5.6077748317
Taylor,2021,ER Visit Rate-All Other Unintentional Injury,2923.5,N/A,N/A
Heard,2021,% Excessive Drinking,17.531381261,16.466144312,18.590868716
Stewart,2021,ER Visit Rate-All Other Unintentional Injury,1778.7,N/A,N/A
Atkinson,2021,ER Visit Rate-Falls,1835.3,N/A,N/A
Hall,2021,% Children in Poverty,21.8,17.987234043,25.612765957
Elbert,2021,ER Visit Rate-Falls,2252.4,N/A,N/A
Hancock,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
Hancock,2021,Median Household Income,31715.0,27148.021277,36281.978723
Hart,2021,% Uninsured,17.784522003,15.639841152,19.929202854
Hart,2021,% Unemployed,3.5388834823,N/A,N/A
Greene,2021,Average Number of Mentally Unhealthy Days,4.659764454,4.3398256497,4.9713724302
Evans,2021,% Adults with Obesity,42.0,27.4,57.5
Evans,2021,% Excessive Drinking,14.509442889,13.840894181,15.217874783
Evans,2021,Teen Birth Rate,50.531914894,41.255729887,59.8080999
Heard,2021,Average Number of Mentally Unhealthy Days,5.0069942887,4.6059186838,5.4331096022
Henry,2021,% Unemployed,3.5378154898,N/A,N/A
Taliaferro,2021,ER Visit Rate-All Other Unintentional Injury,3658.5,N/A,N/A
Heard,2021,% Adults with Obesity,36.9,25.8,49.8
Heard,2021,Teen Birth Rate,37.07995365,30.034881504,45.280969872
Heard,2021,% Uninsured,14.931379631,13.024996652,16.837762609
Telfair,2021,ER Visit Rate-All Other Unintentional Injury,3085.2,N/A,N/A
Elbert,2021,% Children in Poverty,29.5,19.372340426,39.627659574
Grady,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
Grady,2021,% Adults with Obesity,35.6,26.6,45.6
Towns,2021,ER Visit Rate-Falls,2967.0,N/A,N/A
Hart,2021,% Adults with Obesity,31.7,20.8,44.2
Haralson,2021,ER Visit Rate-Falls,2757.4,N/A,N/A
Bacon,2021,ER Visit Rate-Falls,3068.9,N/A,N/A
Baker,2021,ER Visit Rate-Falls,2908.8,N/A,N/A
Dade,2021,ER Visit Rate-Falls,177.6,N/A,N/A
Tattnall,2021,ER Visit Rate-All Other Unintentional Injury,3132.0,N/A,N/A
Dawson,2021,ER Visit Rate-Falls,1547.5,N/A,N/A
Greene,2021,Average Number of Physically Unhealthy Days,4.4860877691,4.0929351079,4.8518210432
Terrell,2021,ER Visit Rate-All Other Unintentional Injury,1294.1,N/A,N/A
Glynn,2021,Injury Death Rate,76.437809349,68.11458122,84.761037478
Grady,2021,Average Number of Mentally Unhealthy Days,4.9842132319,4.6668618596,5.312132292
Hart,2021,Injury Death Rate,63.474861633,50.483441164,78.789039855
Columbia,2021,% Excessive Drinking,18.405422498,17.649178852,19.194076239
Grady,2021,Teen Birth Rate,45.389048991,39.784935984,50.993161999
Grady,2021,% Excessive Drinking,15.809515126,15.083776138,16.53899784
Greene,2021,% Adults with Obesity,32.3,21.7,43.5
Henry,2021,Teen Birth Rate,16.782332339,15.75989144,17.804773238
Henry,2021,Preventable Hospitalization Rate,3887.0,N/A,N/A
Columbia,2021,Average Number of Physically Unhealthy Days,3.4511029929,3.1225953375,3.8144270776
Polk,2021,ER Visit Rate-All Other Unintentional Injury,4255.6,N/A,N/A
Harris,2021,Suicide Rate (Age-Adjusted),14.163708911,8.8763209672,21.444025505
Hart,2021,Average Number of Mentally Unhealthy Days,4.9980232807,4.6159549978,5.3977421375
Grady,2021,% Uninsured,20.798383022,18.534553234,23.062212809
Bryan,2021,Motor Vehicle Mortality Rate,19.350303681,14.315461188,25.582127662
Talbot,2021,Injury Death Rate (White),93.457943925,48.291083401,163.25222
Hall,2021,Suicide Rate (Age-Adjusted),15.846955231,13.35737942,18.336531043
Hall,2021,% Adults with Obesity,32.0,26.8,37.7
Hall,2021,Preventable Hospitalization Rate,5175.0,N/A,N/A
Bibb,2021,Injury Death Rate (White),105.42643988,93.765305808,117.08757395
Habersham,2021,Drug Overdose Mortality Rate,12.566250009,7.3203037112,20.119783577
Banks,2021,Average Number of Physically Unhealthy Days,4.6980199085,4.2620345783,5.1717068858
Fannin,2021,Teen Birth Rate,31.518624642,26.141670111,36.895579172
Fayette,2021,Average Number of Physically Unhealthy Days,3.0824544746,2.8070747883,3.3939027873
Hall,2021,Average Number of Physically Unhealthy Days,4.1309565209,3.7825847092,4.50727887
Fayette,2021,% Adults with Obesity,27.7,21.8,34.5
Hall,2021,Teen Birth Rate,30.467236839,28.871265374,32.063208304
Haralson,2021,% Excessive Drinking,18.113907374,16.970076216,19.28416575
Haralson,2021,% Adults with Obesity,24.8,16.8,34.9
Haralson,2021,Average Number of Mentally Unhealthy Days,4.9974482363,4.5224448756,5.4152817934
Floyd,2021,Preventable Hospitalization Rate,7180.0,N/A,N/A
Floyd,2021,Suicide Rate (Age-Adjusted),18.88012529,15.181850294,23.206879364
Forsyth,2021,Average Number of Physically Unhealthy Days,3.0114374116,2.7042332829,3.3757204372
Forsyth,2021,Average Number of Mentally Unhealthy Days,3.5013056138,3.184272548,3.8391237554
Hancock,2021,% Adults with Obesity,30.1,15.4,48.0
Grady,2021,% Unemployed,3.4070245957,N/A,N/A
Habersham,2021,Suicide Rate (Age-Adjusted),18.377473009,13.18799192,24.931117252
Habersham,2021,Median Household Income,51296.0,44487.829787,58104.170213
Candler,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
Floyd,2021,% Children in Poverty,24.1,17.427659574,30.772340426
Crisp,2021,% Uninsured,16.47954866,14.334867809,18.624229511
Fayette,2021,% Uninsured,10.7960508,9.6045614382,11.987540162
Hall,2021,% Uninsured,20.899820602,19.231735496,22.567905709
Turner,2021,Average Number of Mentally Unhealthy Days,4.9642920694,4.6428115552,5.271156826
Elbert,2021,Suicide Rate (Age-Adjusted),14.57441083,7.7602599502,24.922686387
Hancock,2021,% Children in Poverty,43.5,26.342553191,60.657446809
Forsyth,2021,% Excessive Drinking,18.283211892,17.409583959,19.060917706
Hall,2021,Average Number of Mentally Unhealthy Days,4.2323891011,3.9037137148,4.5483299216
Hall,2021,% Unemployed,2.7816697857,N/A,N/A
Floyd,2021,Average Number of Mentally Unhealthy Days,4.8274773688,4.4334823281,5.2184546516
Henry,2021,Average Number of Mentally Unhealthy Days,3.9167054054,3.6357408512,4.2088943114
Henry,2021,% Adults with Obesity,34.7,30.1,39.6
Henry,2021,% Excessive Drinking,14.885705429,14.299072642,15.489944568
Greene,2021,% Uninsured,19.729379355,17.584698504,21.874060206
Gwinnett,2021,Average Number of Physically Unhealthy Days,3.5947282001,3.337516848,3.8607301773
Gwinnett,2021,% Adults with Obesity,32.3,29.6,35.1
Habersham,2021,Injury Death Rate,83.659545912,71.6686738,95.650418024
Forsyth,2021,% Adults with Obesity,26.5,21.8,31.6
Floyd,2021,Average Number of Physically Unhealthy Days,4.6203384206,4.212612071,5.0508999592
Gordon,2021,% Adults with Obesity,32.5,23.8,41.3
Gordon,2021,% Excessive Drinking,17.021648873,16.051408915,17.977125205
Fayette,2021,% Unemployed,2.9818056394,N/A,N/A
Glascock,2021,Teen Birth Rate,33.467202142,21.658208632,49.404192366
Brantley,2021,Drug Overdose Mortality Rate,21.150219434,10.928627014,36.945176954
Brooks,2021,Average Number of Physically Unhealthy Days,4.9921550884,4.6306876687,5.3748671834
Spalding,2021,Firearm Fatalities Rate (Black),12.430411891,6.7958218512,20.856118978
Spalding,2021,Age-Adjusted Death Rate-All Opioids,24.3,N/A,N/A
Stephens,2021,Age-Adjusted Death Rate-All Opioids,24.3,N/A,N/A
Stewart,2021,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Sumter,2021,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Talbot,2021,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Taliaferro,2021,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Tattnall,2021,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Seminole,2021,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Fannin,2021,% Unemployed,3.3009034051,N/A,N/A
Brooks,2021,Teen Birth Rate (Hispanic),48.872180451,26.022377786,83.572916986
Thomas,2021,Age-Adjusted Death Rate-All Opioids,N/A,N/A,N/A
Turner,2021,Average Number of Physically Unhealthy Days,5.067108571,4.7321212716,5.4312733544
Bibb,2021,Age-Adjusted Death Rate,541.77309323,520.93078379,562.61540266
Treutlen,2021,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Fayette,2021,Drug Overdose Mortality Rate,11.162386283,7.8991688855,15.321247285
Turner,2021,% Uninsured,17.737054472,15.473224685,20.000884259
Fayette,2021,Teen Birth Rate,6.0756875545,5.2071820433,6.9441930658
Fayette,2021,Median Household Income,94563.0,86745.638298,102380.3617
Haralson,2021,% Children in Poverty,20.2,12.217021277,28.182978723
Haralson,2021,Injury Death Rate,112.64567133,95.457542239,129.83380043
Haralson,2021,Suicide Rate (Age-Adjusted),19.649751398,12.949309988,28.589356633
Floyd,2021,Teen Birth Rate,28.938049728,26.880650683,30.995448772
Fannin,2021,Median Household Income,47980.0,43242.638298,52717.361702
Fayette,2021,Suicide Rate (Age-Adjusted),12.298882099,9.4507986962,15.735612856
Harris,2021,Teen Birth Rate,15.098409275,12.302144745,17.894673804
Harris,2021,Average Number of Physically Unhealthy Days,3.4472556607,3.1231976927,3.7853827219
Floyd,2021,% Uninsured,17.191977077,15.404743035,18.97921112
Fannin,2021,Preventable Hospitalization Rate,3855.0,N/A,N/A
Emanuel,2021,Median Household Income,38529.0,33804.744681,43253.255319
Elbert,2021,Injury Death Rate,86.52142187,68.913829561,107.25632002
Elbert,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
Glascock,2021,% Excessive Drinking,17.003632367,15.90019513,18.060023353
Habersham,2021,ER Visit Rate-Falls,2514.2,N/A,N/A
Glascock,2021,% Uninsured,14.596145961,12.570614047,16.621677876
Harris,2021,% Uninsured,11.877160138,10.328223968,13.426096308
Gilmer,2021,% Children in Poverty,25.7,17.121276596,34.278723404
Fayette,2021,Injury Death Rate,50.642358335,44.762761286,56.521955383
Gordon,2021,Average Number of Mentally Unhealthy Days,4.831813481,4.4570194794,5.2412413306
McDuffie,2021,Age-Adjusted Death Rate-Drug Overdoses,35.9,N/A,N/A
Turner,2021,% Excessive Drinking,14.560527164,13.79304411,15.304617574
Fayette,2021,% Children in Poverty,7.1,4.3595744681,9.8404255319
Floyd,2021,Drug Overdose Mortality Rate,16.66451275,12.328498272,22.031369616
Floyd,2021,Median Household Income,50520.0,45278.638298,55761.361702
Fannin,2021,Suicide Rate (Age-Adjusted),21.691613213,13.427450463,33.157934997
Hancock,2021,Average Number of Mentally Unhealthy Days,4.9472712051,4.5939619834,5.3249750651
Hart,2021,Average Number of Physically Unhealthy Days,4.7855396793,4.3641203723,5.2132375932
Fannin,2021,Drug Overdose Mortality Rate,14.198311692,7.0877460403,25.404701594
Heard,2021,% Unemployed,3.3346036585,N/A,N/A
Hancock,2021,% Uninsured,13.748553799,11.603872948,15.89323465
Floyd,2021,Injury Death Rate,84.787169833,76.609846232,92.964493434
Fannin,2021,% Uninsured,19.233103448,16.850124725,21.616082172
Haralson,2021,Drug Overdose Mortality Rate,22.578205258,13.791354337,34.870206819
Monroe,2021,Teen Birth Rate,17.626101631,14.243684305,21.569884442
Harris,2021,Median Household Income,74052.0,67353.446809,80750.553191
Miller,2021,% Excessive Drinking,17.037741566,16.131197361,17.96388461
Hancock,2021,Suicide Rate (Age-Adjusted),N/A,N/A,N/A
Heard,2021,% Children in Poverty,24.7,15.763829787,33.636170213
Oglethorpe,2021,Injury Death Rate,69.349977328,51.793880132,90.943268706
Harris,2021,Preventable Hospitalization Rate,3600.0,N/A,N/A
Haralson,2021,% Uninsured,15.712074303,13.805691325,17.618457282
Fannin,2021,Injury Death Rate,99.465569914,82.097819309,116.83332052
Fannin,2021,% Children in Poverty,22.7,13.763829787,31.636170213
Harris,2021,% Adults with Obesity,30.7,22.4,39.5
Morgan,2021,% Excessive Drinking,18.292118435,17.385175209,19.306930112
Meriwether,2021,Median Household Income,43571.0,37735.085106,49406.914894
Meriwether,2021,Suicide Rate (Age-Adjusted),20.166393545,12.141486273,31.492321576
Hall,2021,% Excessive Drinking,17.861988825,17.165462258,18.564924853
Miller,2021,Average Number of Physically Unhealthy Days,4.7081111752,4.3504152398,5.0735534218
Miller,2021,Average Number of Mentally Unhealthy Days,4.9338434555,4.6038902387,5.28487715
Talbot,2021,Motor Vehicle Mortality Rate,24.960290447,12.46008706,44.660854353
Miller,2021,% Adults with Obesity,24.0,12.2,41.1
Miller,2021,Teen Birth Rate,30.303030303,20.985729398,42.3454475
Miller,2021,% Uninsured,16.80865761,14.663976759,18.953338461
Paulding,2021,% Children in Poverty,9.3,5.7255319149,12.874468085
Montgomery,2021,% Uninsured,18.327402135,16.063572348,20.591231922
Monroe,2021,% Excessive Drinking,17.17073231,16.30699045,18.060268258
Harris,2021,Average Number of Mentally Unhealthy Days,4.0070572207,3.6731152545,4.3360786562
Pulaski,2021,Teen Birth Rate (White),32.437442076,22.593866916,45.112629628
Hancock,2021,Teen Birth Rate,31.224979984,22.204013202,42.685575553
Morgan,2021,% Adults with Obesity,31.2,22.0,43.7
Floyd,2021,% Excessive Drinking,16.075035294,15.23251552,16.829191339
Fayette,2021,Average Number of Mentally Unhealthy Days,3.6119178553,3.3174155187,3.8937313245
Quitman,2021,% Adults with Obesity,28.9,13.7,47.5
Paulding,2021,% Unemployed,2.9319335165,N/A,N/A
Banks,2021,Teen Birth Rate (White),27.785988767,22.453907301,34.003013222
Banks,2021,Age-Adjusted Death Rate,429.16020068,378.77439312,479.54600824
Pulaski,2021,Age-Adjusted Death Rate,439.80584466,371.32546742,508.2862219
Morgan,2021,Average Number of Physically Unhealthy Days,3.9306943788,3.5611096591,4.2915239747
Pulaski,2021,Injury Death Rate (White),88.113239725,59.86867142,125.06971037
Newton,2021,Firearm Fatalities Rate,22.516079618,18.520599889,26.511559348
Pulaski,2021,Injury Death Rate,74.927748243,54.001330382,101.28054872
Putnam,2021,Injury Death Rate (White),90.961250507,70.201972781,115.93758073
Putnam,2021,Years of Potential Life Lost Rate,7078.9783414,5799.8216968,8358.134986
Putnam,2021,Age-Adjusted Death Rate,357.27547801,315.33657228,399.21438374
Monroe,2021,% Uninsured,14.286378429,12.499144386,16.073612471
Hancock,2021,Preventable Hospitalization Rate,3239.0,N/A,N/A
Floyd,2021,% Adults with Obesity,34.3,27.7,41.3
Haralson,2021,Median Household Income,49020.0,42845.702128,55194.297872
Haralson,2021,Average Number of Physically Unhealthy Days,4.6771786095,4.2298283263,5.1617917655
Meriwether,2021,Drug Overdose Mortality Rate,15.801782441,7.5775688897,29.060040519
Floyd,2021,% Unemployed,3.8261145343,N/A,N/A
Terrell,2021,Age-Adjusted Death Rate-All Opioids,0.0,N/A,N/A
Miller,2021,% Unemployed,3.2739177883,N/A,N/A
Fayette,2021,% Excessive Drinking,18.848426701,18.178708007,19.617398262
Quitman,2021,Percent of Deaths by Cause-Drug Overdoses,N/A,N/A,N/A
Pulaski,2021,Motor Vehicle Mortality Rate,15.174698719,7.8409882633,26.507144815
Turner,2021,% Adults with Obesity,39.3,24.7,54.5
Pulaski,2021,Suicide Rate (Age-Adjusted),22.898512357,11.831995479,39.999092853
Putnam,2021,YPLL Rate (Black),9071.0669093,6665.0787707,12062.595989
Bibb,2021,MV Mortality Rate (White),18.622281206,14.743435401,23.208918697
Bibb,2021,MV Mortality Rate (Black),17.302094571,13.944295791,20.659893351
Bibb,2021,Motor Vehicle Mortality Rate,17.501021669,14.999291019,20.002752318
Bibb,2021,Drug Overdose Mortality Rate (White),17.616539089,11.969583613,25.005271041
Pickens,2021,Age-Adjusted Death Rate,394.39567541,356.93675539,431.85459543
Bibb,2021,Drug Overdose Mortality Rate (Black),5.0769549205,2.7032646738,8.681747534
Oglethorpe,2021,Teen Birth Rate,25.008564577,19.602722481,31.444515308
Bibb,2021,Infant Mortality Rate (White),4.2444821732,2.5926399799,6.5552584683
Bibb,2021,Infant Mortality Rate (Black),15.524625268,12.997695356,18.051555179
Bibb,2021,Child Mortality Rate (White),48.66061653,29.723168744,75.152375618
Bibb,2021,Child Mortality Rate (Black),94.554475579,76.317665138,115.83562063
Bibb,2021,Child Mortality Rate,76.309031672,62.361958038,90.256105305
Quitman,2021,% Children in Poverty,36.0,22.059574468,49.940425532
Harris,2021,% Excessive Drinking,18.873584724,17.926732168,19.726655233
Bibb,2021,Drug Overdose Mortality Rate,9.583634637,6.9634835985,12.86558218
Oglethorpe,2021,Motor Vehicle Mortality Rate,18.233640106,10.977842446,28.474087667
Bryan,2021,Age-Adjusted Death Rate,423.00111459,384.75572567,461.24650351
Oglethorpe,2021,Teen Birth Rate (White),26.150121065,19.644775774,34.120235542
Fayette,2021,Preventable Hospitalization Rate,3321.0,N/A,N/A
Pulaski,2021,Firearm Fatalities Rate,21.407928069,11.061788826,37.395342078
Camden,2021,Death Rate-All Opioids,32.3,N/A,N/A
Carroll,2021,Death Rate-All Opioids,27.9,N/A,N/A
Wilkes,2021,Age-Adjusted Death Rate-Drug Overdoses,0.0,N/A,N/A
Carroll,2021,ER Visit Rate-Falls,1948.9,N/A,N/A
Catoosa,2021,ER Visit Rate-Falls,638.9,N/A,N/A
Spalding,2021,ER Visit Rate-All Other Unintentional Injury,3205.8,N/A,N/A
Effingham,2021,ER Visit Rate-Falls,1544.8,N/A,N/A
Clarke,2021,ER Visit Rate-Falls,1418.7,N/A,N/A
Walton,2021,ER Visit Rate-Falls,2104.1,N/A,N/A
Clayton,2021,ER Visit Rate-Falls,877.1,N/A,N/A
Columbia,2021,ER Visit Rate-Falls,1135.1,N/A,N/A
Camden,2021,ER Visit Rate-Falls,2094.7,N/A,N/A
Coweta,2021,ER Visit Rate-Falls,1422.4,N/A,N/A
Dougherty,2021,ER Visit Rate-Falls,1426.1,N/A,N/A
Cherokee,2021,ER Visit Rate-Falls,1273.4,N/A,N/A
Toombs,2021,Preventable Hospitalization Rate,5999.0,N/A,N/A
Stewart,2021,Injury Death Rate,82.342478838,53.287710707,121.55374229
Chattahoochee,2021,% Unemployed,4.5568352529,N/A,N/A
Chatham,2021,ER Visit Rate-Falls,879.1,N/A,N/A
Toombs,2021,% Uninsured,18.695612763,16.550931912,20.840293614
Wilcox,2021,ER Visit Rate-Falls,2391.6,N/A,N/A
DeKalb,2021,ER Visit Rate-Falls,858.5,N/A,N/A
Bulloch,2021,ER Visit Rate-Falls,1649.6,N/A,N/A
Bibb,2021,ER Visit Rate-Falls,1983.9,N/A,N/A
Webster,2021,Age-Adjusted Death Rate-Drug Overdoses,N/A,N/A,N/A
Spalding,2021,MV Mortality Rate (White),23.518257885,18.111924325,30.032290277
Sumter,2021,YPLL Rate (Black),14055.08359,11923.413703,16186.753478
Thomas,2021,Suicide Rate (Age-Adjusted),10.729260949,6.7239707144,16.244230017
Stewart,2021,Age-Adjusted Death Rate,551.70685501,443.76394589,659.64976412
Stewart,2021,Injury Death Rate (Black),100.35510267,53.434865609,171.61028191
Spalding,2021,Age-Adjusted Death Rate-Drug Overdoses,31.5,N/A,N/A
Cherokee,2021,% Uninsured,14.063848933,12.753210635,15.374487231
Sumter,2021,YPLL Rate (White),8410.6915253,6590.5163861,10230.866664
Spalding,2021,Child Mortality Rate (White),56.033488249,32.641571804,89.715042737
Greene,2021,% Unemployed,3.8516405136,N/A,N/A
Gordon,2021,Suicide Rate (Age-Adjusted),17.270631361,12.734000202,22.898351569
Towns,2021,% Children in Poverty,19.2,11.455319149,26.944680851
Stewart,2021,Injury Death Rate (White),158.73015873,82.018189269,277.26964349
Stephens,2021,Teen Birth Rate (White),35.950413223,30.608641389,41.292185057
Forsyth,2021,ER Visit Rate-All Other Unintentional Injury,1327.4,N/A,N/A
Sumter,2021,Teen Birth Rate (Black),42.693576557,37.051911883,48.335241232
Troup,2021,ER Visit Rate-Falls,2064.0,N/A,N/A
Fulton,2021,ER Visit Rate-All Other Unintentional Injury,1618.9,N/A,N/A
Cobb,2021,ER Visit Rate-Falls,1029.5,N/A,N/A
Tift,2021,% Adults with Obesity,38.4,30.0,47.5
Brantley,2021,% Adults with Obesity,33.6,23.9,43.9
Tift,2021,Preventable Hospitalization Rate,5682.0,N/A,N/A
Towns,2021,Average Number of Physically Unhealthy Days,4.0584704244,3.6276979057,4.5100817232
Spalding,2021,MV Mortality Rate (Black),14.157287464,8.8722966803,21.434303357
Spalding,2021,Motor Vehicle Mortality Rate,19.346739745,15.516651007,23.835724468
Spalding,2021,Injury Death Rate (White),107.0168037,92.473054404,121.56055299
Spalding,2021,Drug Overdose Mortality Rate,13.623771968,8.9781515729,19.821872938
Stephens,2021,Injury Death Rate,102.17746368,84.746386576,119.60854078
Sumter,2021,Years of Potential Life Lost Rate,11395.270082,9990.4487789,12800.091385
Spalding,2021,Homicide Rate (Black),12.226748264,7.3613011605,19.093581968
Stewart,2021,Years of Potential Life Lost Rate,11330.445209,7521.7106018,15139.179816
Spalding,2021,Homicide Rate,6.8153287737,4.6306852437,9.6738151778
Richmond,2021,Child Mortality Rate (White),91.621704164,66.829499722,122.59704876
Sumter,2021,Injury Death Rate,77.193356048,63.145598619,91.241113477
Stephens,2021,Teen Birth Rate (Black),33.467202142,21.658208632,49.404192366
Glynn,2021,ER Visit Rate-All Other Unintentional Injury,1807.9,N/A,N/A
Effingham,2021,ER Visit Rate-All Other Unintentional Injury,2801.9,N/A,N/A
Sumter,2021,Teen Birth Rate (Hispanic),53.191489362,34.422727336,78.521131271
Carroll,2021,Injury Death Rate,83.343133395,75.956076124,90.730190667
Spalding,2021,Homicide Rate (White),4.042200574,2.0178519626,7.2326133978
Carroll,2021,Suicide Rate (Age-Adjusted),17.040576172,13.641541351,20.439610993
Richmond,2021,Child Mortality Rate,96.792407173,82.652026233,110.93278811
Stephens,2021,Teen Birth Rate,35.096557515,30.338305408,39.854809622
Tift,2021,% Unemployed,3.3567920612,N/A,N/A
Richmond,2021,Homicide Rate,13.803521384,11.866079617,15.740963152
Bartow,2021,Suicide Rate (Age-Adjusted),18.605270953,14.893979941,22.316561965
Towns,2021,Average Number of Mentally Unhealthy Days,4.5266170497,4.0943676942,4.9986880381
Towns,2021,% Excessive Drinking,18.656466795,17.530967105,19.821155031
Henry,2021,Median Household Income,72927.0,66737.212766,79116.787234
Tift,2021,% Children in Poverty,31.0,21.706382979,40.293617021
Brooks,2021,% Children in Poverty,35.3,22.193617021,48.406382979
Brooks,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
Brantley,2021,% Excessive Drinking,17.69985321,16.543128178,18.893723551
Bleckley,2021,Average Number of Physically Unhealthy Days,4.5528324171,4.1927706154,4.9353780571
Bleckley,2021,% Adults with Obesity,40.8,28.7,54.8
Tift,2021,Average Number of Mentally Unhealthy Days,4.7748010574,4.4496465658,5.1072667905
Turner,2021,YPLL Rate (White),8903.8712969,6201.8725968,12383.129568
Toombs,2021,% Excessive Drinking,15.994348768,15.30741883,16.75475629
Burke,2021,% Children in Poverty,36.3,25.219148936,47.380851064
Spalding,2021,Suicide Rate (Age-Adjusted),16.699319484,12.433740219,21.95652111
Stephens,2021,Firearm Fatalities Rate,17.029577279,10.672345416,25.782984656
Fayette,2021,ER Visit Rate-Falls,1108.0,N/A,N/A
Sumter,2021,Teen Birth Rate,36.717062635,32.603072097,40.831053173
Tift,2021,% Uninsured,19.73099666,17.586315809,21.875677512
Bleckley,2021,Average Number of Mentally Unhealthy Days,4.7829571428,4.4452307397,5.1158744892
Carroll,2021,ER Visit Rate-All Other Unintentional Injury,2457.2,N/A,N/A
Towns,2021,% Unemployed,4.8291805805,N/A,N/A
Banks,2021,ER Visit Rate-All Other Unintentional Injury,3054.6,N/A,N/A
Carroll,2021,% Children in Poverty,21.8,15.723404255,27.876595745
Calhoun,2021,% Excessive Drinking,14.489032554,13.705253458,15.365259358
Decatur,2021,ER Visit Rate-All Other Unintentional Injury,4091.2,N/A,N/A
Fannin,2021,ER Visit Rate-All Other Unintentional Injury,3466.7,N/A,N/A
Calhoun,2021,Preventable Hospitalization Rate,4056.0,N/A,N/A
Chattooga,2021,ER Visit Rate-All Other Unintentional Injury,2446.7,N/A,N/A
Whitfield,2021,ER Visit Rate-All Other Unintentional Injury,2014.6,N/A,N/A
Catoosa,2021,% Uninsured,13.938432129,12.270347023,15.606517236
Appling,2021,ER Visit Rate-All Other Unintentional Injury,3559.1,N/A,N/A
Bacon,2021,ER Visit Rate-All Other Unintentional Injury,3213.3,N/A,N/A
Emanuel,2021,ER Visit Rate-All Other Unintentional Injury,4063.2,N/A,N/A
Candler,2021,ER Visit Rate-All Other Unintentional Injury,3134.9,N/A,N/A
Evans,2021,ER Visit Rate-All Other Unintentional Injury,4375.9,N/A,N/A
Chattooga,2021,Drug Overdose Mortality Rate,26.900160056,16.431316609,41.545115473
Charlton,2021,ER Visit Rate-All Other Unintentional Injury,1386.5,N/A,N/A
Baker,2021,ER Visit Rate-All Other Unintentional Injury,4966.3,N/A,N/A
Greene,2021,% Children in Poverty,27.6,17.234042553,37.965957447
Atkinson,2021,ER Visit Rate-All Other Unintentional Injury,3956.6,N/A,N/A
Calhoun,2021,Injury Death Rate,72.329318532,45.850583468,108.52949116
Calhoun,2021,% Children in Poverty,39.0,24.821276596,53.178723404
Chattooga,2021,% Unemployed,4.967497817,N/A,N/A
McIntosh,2021,ER Visit Rate-Falls,1618.3,N/A,N/A
Bibb,2021,ER Visit Rate-All Other Unintentional Injury,3363.7,N/A,N/A
Pulaski,2021,ER Visit Rate-All Other Unintentional Injury,3065.4,N/A,N/A
Coweta,2021,ER Visit Rate-All Other Unintentional Injury,2431.4,N/A,N/A
Webster,2021,ER Visit Rate-Falls,1816.6,N/A,N/A
Chattooga,2021,Average Number of Physically Unhealthy Days,5.2502755629,4.7921231382,5.7379041498
Troup,2021,ER Visit Rate-All Other Unintentional Injury,3582.9,N/A,N/A
Chattooga,2021,Preventable Hospitalization Rate,6543.0,N/A,N/A
Bartow,2021,% Adults with Obesity,29.4,23.3,36.1
Chatham,2021,% Uninsured,16.494590444,15.06480321,17.924377678
Chattahoochee,2021,Suicide Rate (Age-Adjusted),20.449632033,8.2218126874,42.134057726
Chattooga,2021,Injury Death Rate,98.311777267,80.866346272,115.75720826
Catoosa,2021,Preventable Hospitalization Rate,3668.0,N/A,N/A
Camden,2021,% Unemployed,3.622598112,N/A,N/A
Camden,2021,Drug Overdose Mortality Rate,11.772943298,7.0880809262,18.3849093
Chattahoochee,2021,Median Household Income,46106.0,39409.829787,52802.170213
Calhoun,2021,% Unemployed,3.6274070757,N/A,N/A
Chatham,2021,Preventable Hospitalization Rate,4131.0,N/A,N/A
Calhoun,2021,% Uninsured,18.064338741,15.800508953,20.328168528
Berrien,2021,ER Visit Rate-All Other Unintentional Injury,5786.1,N/A,N/A
Brooks,2021,ER Visit Rate-All Other Unintentional Injury,5205.9,N/A,N/A
Bryan,2021,ER Visit Rate-All Other Unintentional Injury,1231.4,N/A,N/A
Butts,2021,ER Visit Rate-All Other Unintentional Injury,4650.7,N/A,N/A
Chattahoochee,2021,Drug Overdose Mortality Rate,N/A,N/A,N/A
